GRID DEGREE,GRID SIZE,NUM TYPES,INITIALIZATION,UTILITY,STEPS,evenness,# colorful edges,Is max (evenness),Is max (# colorful edges)
CIRCLE_WORLD,400,2,random_init,BinaryDiversityUtility,29.3,0.001515897530982651,0.7976666666666666,1,0
CIRCLE_WORLD,400,2,random_init,TypeCountingDiversityUtility,29.3,0.001515897530982651,0.7976666666666666,0,0
CIRCLE_WORLD,400,2,random_init,DifferenceCountDiversityUtility,48.5,0.0014001707930271347,0.8929166666666665,0,1
CIRCLE_WORLD,400,2,random_init,AvgDiffTypeCountingDiversityUtility,48.5,0.0014001707930271347,0.8929166666666665,0,0
CIRCLE_WORLD,400,2,schelling_random_init,BinaryDiversityUtility,65.16666666666667,0.0014173165633608138,0.8510000000000002,1,0
CIRCLE_WORLD,400,2,schelling_random_init,TypeCountingDiversityUtility,65.16666666666667,0.0014173165633608138,0.8510000000000002,0,0
CIRCLE_WORLD,400,2,schelling_random_init,DifferenceCountDiversityUtility,80.0,0.001351676095525334,0.924625,0,1
CIRCLE_WORLD,400,2,schelling_random_init,AvgDiffTypeCountingDiversityUtility,80.0,0.001351676095525334,0.924625,0,0
CIRCLE_WORLD,400,3,random_init,BinaryDiversityUtility,16.133333333333333,0.0,0.8278333333333333,1,0
CIRCLE_WORLD,400,3,random_init,TypeCountingDiversityUtility,47.4,0.0,0.9832083333333334,0,0
CIRCLE_WORLD,400,3,random_init,DifferenceCountDiversityUtility,47.833333333333336,0.0,0.9870833333333334,0,0
CIRCLE_WORLD,400,3,random_init,AvgDiffTypeCountingDiversityUtility,54.0,0.0,1.0,0,1
CIRCLE_WORLD,400,3,schelling_random_init,BinaryDiversityUtility,56.2,0.0,0.8335416666666667,1,0
CIRCLE_WORLD,400,3,schelling_random_init,TypeCountingDiversityUtility,86.56666666666666,0.0,0.9847500000000001,0,0
CIRCLE_WORLD,400,3,schelling_random_init,DifferenceCountDiversityUtility,87.43333333333334,0.0,0.9902083333333334,0,0
CIRCLE_WORLD,400,3,schelling_random_init,AvgDiffTypeCountingDiversityUtility,92.86666666666666,0.0,1.0,0,1
CIRCLE_WORLD,400,4,random_init,BinaryDiversityUtility,9.7,0.0,0.8494166666666667,1,0
CIRCLE_WORLD,400,4,random_init,TypeCountingDiversityUtility,38.63333333333333,0.0,0.9935000000000002,0,0
CIRCLE_WORLD,400,4,random_init,DifferenceCountDiversityUtility,38.63333333333333,0.0,0.9960416666666667,0,0
CIRCLE_WORLD,400,4,random_init,AvgDiffTypeCountingDiversityUtility,40.733333333333334,0.0,1.0,0,1
CIRCLE_WORLD,400,4,schelling_random_init,BinaryDiversityUtility,52.63333333333333,0.0,0.8180833333333333,1,0
CIRCLE_WORLD,400,4,schelling_random_init,TypeCountingDiversityUtility,87.16666666666667,0.0,0.9905833333333334,0,0
CIRCLE_WORLD,400,4,schelling_random_init,DifferenceCountDiversityUtility,87.83333333333333,0.0,0.99625,0,0
CIRCLE_WORLD,400,4,schelling_random_init,AvgDiffTypeCountingDiversityUtility,89.86666666666666,0.0,1.0,0,1
CIRCLE_WORLD,400,5,random_init,BinaryDiversityUtility,6.333333333333333,0.0,0.8633333333333334,1,0
CIRCLE_WORLD,400,5,random_init,TypeCountingDiversityUtility,33.06666666666667,0.0,0.9967916666666667,0,0
CIRCLE_WORLD,400,5,random_init,DifferenceCountDiversityUtility,33.03333333333333,0.0,0.9979166666666667,0,0
CIRCLE_WORLD,400,5,random_init,AvgDiffTypeCountingDiversityUtility,34.06666666666667,0.0,1.0,0,1
CIRCLE_WORLD,400,5,schelling_random_init,BinaryDiversityUtility,49.233333333333334,0.0,0.8046666666666668,1,0
CIRCLE_WORLD,400,5,schelling_random_init,TypeCountingDiversityUtility,87.36666666666666,0.0,0.9945833333333333,0,0
CIRCLE_WORLD,400,5,schelling_random_init,DifferenceCountDiversityUtility,87.66666666666667,0.0,0.9975833333333334,0,0
CIRCLE_WORLD,400,5,schelling_random_init,AvgDiffTypeCountingDiversityUtility,89.13333333333334,0.0,1.0,0,1
CIRCLE_WORLD,400,6,random_init,BinaryDiversityUtility,4.633333333333334,0.0,0.8795833333333333,1,0
CIRCLE_WORLD,400,6,random_init,TypeCountingDiversityUtility,28.166666666666668,0.0,0.9970416666666666,0,0
CIRCLE_WORLD,400,6,random_init,DifferenceCountDiversityUtility,28.066666666666666,0.0,0.9977083333333333,0,0
CIRCLE_WORLD,400,6,random_init,AvgDiffTypeCountingDiversityUtility,29.233333333333334,0.0,1.0,0,1
CIRCLE_WORLD,400,6,schelling_random_init,BinaryDiversityUtility,47.2,0.0,0.7943333333333332,1,0
CIRCLE_WORLD,400,6,schelling_random_init,TypeCountingDiversityUtility,87.53333333333333,0.0,0.995875,0,0
CIRCLE_WORLD,400,6,schelling_random_init,DifferenceCountDiversityUtility,87.76666666666667,0.0,0.9982083333333331,0,0
CIRCLE_WORLD,400,6,schelling_random_init,AvgDiffTypeCountingDiversityUtility,88.7,0.0,1.0,0,1
CIRCLE_WORLD,400,7,random_init,BinaryDiversityUtility,3.3666666666666667,0.0,0.8923333333333333,1,0
CIRCLE_WORLD,400,7,random_init,TypeCountingDiversityUtility,24.433333333333334,0.0,0.9973333333333333,0,0
CIRCLE_WORLD,400,7,random_init,DifferenceCountDiversityUtility,24.266666666666666,0.0,0.9979583333333334,0,0
CIRCLE_WORLD,400,7,random_init,AvgDiffTypeCountingDiversityUtility,25.3,0.0,1.0,0,1
CIRCLE_WORLD,400,7,schelling_random_init,BinaryDiversityUtility,45.6,0.0,0.7878750000000001,1,0
CIRCLE_WORLD,400,7,schelling_random_init,TypeCountingDiversityUtility,86.93333333333334,0.0,0.9944999999999999,0,0
CIRCLE_WORLD,400,7,schelling_random_init,DifferenceCountDiversityUtility,87.4,0.0,0.99825,0,0
CIRCLE_WORLD,400,7,schelling_random_init,AvgDiffTypeCountingDiversityUtility,88.36666666666666,0.0,1.0,0,1
CIRCLE_WORLD,400,8,random_init,BinaryDiversityUtility,2.6333333333333333,0.0,0.9014166666666666,1,0
CIRCLE_WORLD,400,8,random_init,TypeCountingDiversityUtility,21.8,0.0,0.9968750000000001,0,0
CIRCLE_WORLD,400,8,random_init,DifferenceCountDiversityUtility,21.7,0.0,0.99775,0,0
CIRCLE_WORLD,400,8,random_init,AvgDiffTypeCountingDiversityUtility,22.866666666666667,0.0,1.0,0,1
CIRCLE_WORLD,400,8,schelling_random_init,BinaryDiversityUtility,45.1,0.0,0.7882500000000001,1,0
CIRCLE_WORLD,400,8,schelling_random_init,TypeCountingDiversityUtility,86.73333333333333,0.0,0.9963333333333332,0,0
CIRCLE_WORLD,400,8,schelling_random_init,DifferenceCountDiversityUtility,86.93333333333334,0.0,0.9985833333333335,0,0
CIRCLE_WORLD,400,8,schelling_random_init,AvgDiffTypeCountingDiversityUtility,87.66666666666667,0.0,1.0,0,1
CYLINDER_WORLD,2x200,2,random_init,BinaryDiversityUtility,16.933333333333334,0.0007861835996989723,0.6739444444444443,1,0
CYLINDER_WORLD,2x200,2,random_init,TypeCountingDiversityUtility,16.933333333333334,0.0007861835996989723,0.6739444444444443,0,0
CYLINDER_WORLD,2x200,2,random_init,DifferenceCountDiversityUtility,62.36666666666667,0.0006295792320912767,0.9002777777777776,0,1
CYLINDER_WORLD,2x200,2,random_init,AvgDiffTypeCountingDiversityUtility,62.36666666666667,0.0006295792320912767,0.9002777777777776,0,0
CYLINDER_WORLD,2x200,2,schelling_random_init,BinaryDiversityUtility,66.16666666666667,0.0006922935714842134,0.766388888888889,1,0
CYLINDER_WORLD,2x200,2,schelling_random_init,TypeCountingDiversityUtility,66.16666666666667,0.0006922935714842134,0.766388888888889,0,0
CYLINDER_WORLD,2x200,2,schelling_random_init,DifferenceCountDiversityUtility,96.73333333333333,0.0005880515219976135,0.9458333333333331,0,1
CYLINDER_WORLD,2x200,2,schelling_random_init,AvgDiffTypeCountingDiversityUtility,96.73333333333333,0.0005880515219976135,0.9458333333333331,0,0
CYLINDER_WORLD,2x200,3,random_init,BinaryDiversityUtility,5.6,0.0014869678817852627,0.7233888888888889,1,0
CYLINDER_WORLD,2x200,3,random_init,TypeCountingDiversityUtility,59.766666666666666,0.0012641944011840026,0.9560555555555558,0,0
CYLINDER_WORLD,2x200,3,random_init,DifferenceCountDiversityUtility,62.9,0.001195707630733499,0.979388888888889,0,0
CYLINDER_WORLD,2x200,3,random_init,AvgDiffTypeCountingDiversityUtility,67.86666666666666,0.0011927255232913687,0.9861666666666665,0,1
CYLINDER_WORLD,2x200,3,schelling_random_init,BinaryDiversityUtility,52.833333333333336,0.0012253527638854797,0.6921666666666667,1,0
CYLINDER_WORLD,2x200,3,schelling_random_init,TypeCountingDiversityUtility,115.8,0.001186435549799432,0.9647777777777777,0,0
CYLINDER_WORLD,2x200,3,schelling_random_init,DifferenceCountDiversityUtility,107.0,0.0010364280207406122,0.9903333333333333,0,0
CYLINDER_WORLD,2x200,3,schelling_random_init,AvgDiffTypeCountingDiversityUtility,111.6,0.001038338497730118,0.9973333333333334,0,1
CYLINDER_WORLD,2x200,4,random_init,BinaryDiversityUtility,2.566666666666667,0.0,0.7783888888888889,1,0
CYLINDER_WORLD,2x200,4,random_init,TypeCountingDiversityUtility,51.43333333333333,0.0,0.9887222222222223,0,0
CYLINDER_WORLD,2x200,4,random_init,DifferenceCountDiversityUtility,52.4,0.0,0.9946111111111112,0,0
CYLINDER_WORLD,2x200,4,random_init,AvgDiffTypeCountingDiversityUtility,58.3,0.0,1.0,0,1
CYLINDER_WORLD,2x200,4,schelling_random_init,BinaryDiversityUtility,43.2,0.0,0.6457222222222224,1,0
CYLINDER_WORLD,2x200,4,schelling_random_init,TypeCountingDiversityUtility,116.63333333333334,0.0,0.9869999999999999,0,0
CYLINDER_WORLD,2x200,4,schelling_random_init,DifferenceCountDiversityUtility,108.03333333333333,0.0,0.9960555555555555,0,0
CYLINDER_WORLD,2x200,4,schelling_random_init,AvgDiffTypeCountingDiversityUtility,111.9,0.0,1.0,0,1
CYLINDER_WORLD,2x200,5,random_init,BinaryDiversityUtility,1.2666666666666666,0.0,0.811111111111111,1,0
CYLINDER_WORLD,2x200,5,random_init,TypeCountingDiversityUtility,45.5,0.0,0.9954444444444444,0,0
CYLINDER_WORLD,2x200,5,random_init,DifferenceCountDiversityUtility,45.13333333333333,0.0,0.9975555555555558,0,0
CYLINDER_WORLD,2x200,5,random_init,AvgDiffTypeCountingDiversityUtility,48.3,0.0,1.0,0,1
CYLINDER_WORLD,2x200,5,schelling_random_init,BinaryDiversityUtility,35.7,0.0,0.6177222222222223,1,0
CYLINDER_WORLD,2x200,5,schelling_random_init,TypeCountingDiversityUtility,114.63333333333334,0.0,0.9937777777777779,0,0
CYLINDER_WORLD,2x200,5,schelling_random_init,DifferenceCountDiversityUtility,105.7,0.0,0.9968888888888892,0,0
CYLINDER_WORLD,2x200,5,schelling_random_init,AvgDiffTypeCountingDiversityUtility,108.7,0.0,1.0,0,1
CYLINDER_WORLD,2x200,6,random_init,BinaryDiversityUtility,0.5333333333333333,0.0,0.838388888888889,1,0
CYLINDER_WORLD,2x200,6,random_init,TypeCountingDiversityUtility,39.06666666666667,0.0,0.9971666666666666,0,0
CYLINDER_WORLD,2x200,6,random_init,DifferenceCountDiversityUtility,38.36666666666667,0.0,0.997888888888889,0,0
CYLINDER_WORLD,2x200,6,random_init,AvgDiffTypeCountingDiversityUtility,40.6,0.0,1.0,0,1
CYLINDER_WORLD,2x200,6,schelling_random_init,BinaryDiversityUtility,29.933333333333334,0.0,0.6061111111111112,1,0
CYLINDER_WORLD,2x200,6,schelling_random_init,TypeCountingDiversityUtility,110.96666666666667,0.0,0.9970000000000001,0,0
CYLINDER_WORLD,2x200,6,schelling_random_init,DifferenceCountDiversityUtility,103.0,0.0,0.9977222222222224,0,0
CYLINDER_WORLD,2x200,6,schelling_random_init,AvgDiffTypeCountingDiversityUtility,105.4,0.0,1.0,0,1
CYLINDER_WORLD,2x200,7,random_init,BinaryDiversityUtility,0.43333333333333335,0.0,0.862,1,0
CYLINDER_WORLD,2x200,7,random_init,TypeCountingDiversityUtility,33.666666666666664,0.0,0.9980000000000001,0,0
CYLINDER_WORLD,2x200,7,random_init,DifferenceCountDiversityUtility,33.56666666666667,0.0,0.9988333333333334,0,0
CYLINDER_WORLD,2x200,7,random_init,AvgDiffTypeCountingDiversityUtility,35.2,0.0,1.0,0,1
CYLINDER_WORLD,2x200,7,schelling_random_init,BinaryDiversityUtility,26.133333333333333,0.0,0.5955,1,0
CYLINDER_WORLD,2x200,7,schelling_random_init,TypeCountingDiversityUtility,107.9,0.0,0.9977222222222223,0,0
CYLINDER_WORLD,2x200,7,schelling_random_init,DifferenceCountDiversityUtility,101.3,0.0,0.9982222222222225,0,0
CYLINDER_WORLD,2x200,7,schelling_random_init,AvgDiffTypeCountingDiversityUtility,103.5,0.0,1.0,0,1
CYLINDER_WORLD,2x200,8,random_init,BinaryDiversityUtility,0.16666666666666666,0.0,0.878,1,0
CYLINDER_WORLD,2x200,8,random_init,TypeCountingDiversityUtility,30.0,0.0,0.997888888888889,0,0
CYLINDER_WORLD,2x200,8,random_init,DifferenceCountDiversityUtility,30.033333333333335,0.0,0.9986666666666668,0,0
CYLINDER_WORLD,2x200,8,random_init,AvgDiffTypeCountingDiversityUtility,31.633333333333333,0.0,1.0,0,1
CYLINDER_WORLD,2x200,8,schelling_random_init,BinaryDiversityUtility,21.866666666666667,0.0,0.5919999999999999,1,0
CYLINDER_WORLD,2x200,8,schelling_random_init,TypeCountingDiversityUtility,105.93333333333334,0.0,0.9981111111111112,0,0
CYLINDER_WORLD,2x200,8,schelling_random_init,DifferenceCountDiversityUtility,100.43333333333334,0.0,0.998777777777778,0,0
CYLINDER_WORLD,2x200,8,schelling_random_init,AvgDiffTypeCountingDiversityUtility,102.36666666666666,0.0,1.0,0,1
GRID_4DEG_WORLD,20x20,2,random_init,BinaryDiversityUtility,8.4,0.001967737670884125,0.58325,1,0
GRID_4DEG_WORLD,20x20,2,random_init,TypeCountingDiversityUtility,8.4,0.001967737670884125,0.58325,0,0
GRID_4DEG_WORLD,20x20,2,random_init,DifferenceCountDiversityUtility,78.7,0.0014462234392110596,0.8935833333333334,0,1
GRID_4DEG_WORLD,20x20,2,random_init,AvgDiffTypeCountingDiversityUtility,78.7,0.0014462234392110596,0.8935833333333334,0,0
GRID_4DEG_WORLD,20x20,2,schelling_random_init,BinaryDiversityUtility,41.3,0.0018132021928502753,0.6005000000000001,1,0
